date,Appliances,lights,total,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility
2002-04,60,10,290,20.66666667,40.26666667,19.6,40.02666667,21.26,45.39666667,21.49666667,37.09666667,18.16666667,82.29,-3.897222222,85.87388889,18.1,31.63333333,20.32333333,42.13333333,16.85666667,37.1,-3.50E+00,756.7,84.5,2,22
2002-05,100,20,130,20.73,39.63333333,19.67272727,39.63818182,21.13333333,44.13,21.79,37.09,18.05454545,80.15363636,-4.015,86.00555556,18.1,31.39333333,20.34,42.02833333,16.79,36.76666667,-3.67E+00,756.6666667,85,2,21.33333333
2002-06,380,10,90,20.79,39.36,19.7,39.19666667,20.92666667,43.33,21.73,36.83,18,78.31916667,-4.07,86.25722222,18.01111111,31.16555556,20.29,41.82666667,16.82333333,37.13333333,-3.83E+00,756.6333333,85.5,2,20.66666667
2002-07,390,20,90,20.76,38.79666667,19.7,38.63333333,20.79,42.56333333,21.43,36.63333333,17.89,75.43333333,-4.193888889,85.62222222,18,31.03333333,20.29,41.82666667,16.89,38.33333333,-4.00E+00,756.6,86,2,20
2002-08,130,10,60,20.76,38.46333333,19.7,38.36166667,20.73,42.03,21.23,36.36,17.89,73.22666667,-4.4,84.61222222,18,30.89,20.29,41.9,17,39.09666667,-4.15E+00,756.6,86.33333333,1.833333333,27.33333333
2002-09,60,10,60,20.76,38.29,19.7,38.23,20.6,41.7,21.06666667,36.62666667,17.85,71.174,-4.546666667,84.25444444,18,31.31,20.2,42.03,17.06666667,39.43,-4.30E+00,756.6,86.66666667,1.666666667,34.66666667
2002-10,60,20,80,20.7,38.29,19.7,38.36,20.525,41.65,20.92666667,36.83333333,17.775,69.195,-4.879444444,82.53777778,18,31.93,20.2,42.24,17,39.4,-4.45E+00,756.6,87,1.5,42
2002-11,50,10,70,20.7,38.32666667,19.7,38.56,20.5,41.5,20.85666667,37.09,17.73,68.5,-5.216111111,81.63277778,18,32.25,20.2,42.558,17,39.4,-4.60E+00,756.6,87.33333333,1.333333333,49.33333333
2002-12,60,10,60,20.7,38.46666667,19.7,38.73,20.39,41.36333333,20.73,37.16333333,17.7,67.76666667,-5.250555556,82.85111111,18,32.52666667,20.2,42.93,17,39.4,-4.75E+00,756.6,87.66666667,1.166666667,56.66666667
2003-01,60,20,80,20.66666667,38.59,19.625,38.8175,20.32333333,41.23,20.66666667,37.43333333,17.7,67.36666667,-5.063888889,84.43333333,18,32.73,20.2,43.12666667,17,39.32666667,-4.90E+00,756.6,88,1,64
2003-02,240,10,60,20.6,38.66333333,19.53333333,38.96666667,20.29,41.02666667,20.6,37.56,17.7,66.99333333,-5.348888889,82.93388889,18,32.86333333,20.2,43.33333333,17,39.26,-4.83E+00,756.6,87.83333333,1,64.16666667
2003-03,80,10,60,20.6,38.79,19.46333333,39.03,20.23,40.82666667,20.56666667,37.73,17.63333333,66.6,-5.549444444,82.44166667,18,33.09,20.2,43.53,16.92666667,39.2,-4.77E+00,756.6,87.66666667,1,64.33333333
